Date,Open,High,Low,Close,Adj Close,Volume
2018-05-21,155.850006,160.460007,155.850006,158.830002,128.596176,588300
2018-05-22,157.750000,162.880005,156.100006,157.419998,127.454575,1182900
2018-05-23,157.500000,159.320007,155.199997,158.860001,128.620483,437100
2018-05-24,158.889999,163.580002,158.889999,161.059998,130.401703,434500
2018-05-25,160.839996,164.229996,159.839996,159.919998,129.478668,364800
2018-05-29,159.059998,160.220001,156.300003,156.889999,127.025452,371500
2018-05-30,157.369995,160.220001,157.369995,159.990005,129.535400,346900
2018-05-31,160.000000,160.770004,156.509995,156.710007,126.879753,288100
2018-06-01,157.100006,158.050003,155.619995,156.039993,126.337250,320900
2018-06-04,156.190002,157.050003,154.050003,155.050003,125.535706,460100
2018-06-05,155.419998,156.279999,154.429993,156.199997,126.466805,257900
2018-06-06,155.500000,158.139999,155.500000,157.580002,127.584129,265400
2018-06-07,157.580002,158.839996,155.399994,156.440002,126.661102,200100
2018-06-08,156.399994,158.360001,155.830002,157.639999,127.632698,334800
2018-06-11,157.699997,161.490005,157.610001,161.389999,130.668884,355800
2018-06-12,162.050003,163.690002,161.500000,163.440002,132.328659,351400
2018-06-13,163.649994,164.289993,160.240005,160.539993,129.980667,188000
2018-06-14,161.649994,162.809998,160.639999,161.740005,130.952209,150600
2018-06-15,161.630005,164.869995,160.919998,164.419998,133.122116,327200
2018-06-18,164.419998,164.919998,162.020004,162.309998,131.413742,267200
2018-06-19,161.490005,164.070007,161.490005,163.779999,132.603943,230500
2018-06-20,164.339996,164.889999,162.250000,163.820007,132.636292,166600
2018-06-21,164.339996,165.020004,163.000000,164.360001,133.073502,172300
2018-06-22,164.889999,167.050003,164.039993,166.389999,134.717102,285100
2018-06-25,166.529999,166.529999,164.169998,165.740005,134.190826,388400
2018-06-26,166.289993,167.059998,164.570007,166.320007,134.660400,204400
2018-06-27,166.860001,166.860001,159.539993,159.750000,129.341049,214300
2018-06-28,159.750000,161.320007,157.520004,158.020004,127.940361,245000
2018-06-29,158.250000,159.729996,155.910004,156.210007,126.474922,296400
2018-07-02,156.000000,157.639999,153.520004,157.500000,127.519333,293800
2018-07-03,157.949997,158.470001,156.600006,157.779999,127.746010,80500
2018-07-05,158.470001,158.809998,157.850006,158.250000,128.126587,128800
2018-07-06,158.660004,160.360001,158.020004,158.830002,128.596176,304700
2018-07-09,159.669998,160.300003,157.119995,158.059998,127.972725,387100
2018-07-10,158.610001,159.270004,157.210007,158.289993,128.158966,275900
2018-07-11,157.669998,160.089996,157.509995,158.500000,128.328995,325200
2018-07-12,154.500000,154.500000,150.820007,151.039993,126.272369,380700
2018-07-13,151.089996,152.160004,150.369995,150.520004,125.837669,234900
2018-07-16,150.300003,151.309998,148.880005,149.729996,125.177170,308000
2018-07-17,149.169998,150.750000,146.990005,147.309998,123.154015,362800
2018-07-18,147.279999,151.940002,147.130005,150.809998,126.080101,681500
2018-07-19,150.270004,152.000000,149.600006,151.520004,126.673668,233800
2018-07-20,150.820007,151.690002,146.369995,146.929993,122.836319,575800
2018-07-23,147.089996,148.929993,147.070007,148.350006,124.023499,288800
2018-07-24,148.050003,148.070007,145.619995,146.389999,122.384903,451900
2018-07-25,146.259995,146.800003,144.809998,145.300003,121.473610,284800
2018-07-26,147.970001,150.529999,145.759995,145.960007,122.025421,342400
2018-07-27,146.610001,147.940002,146.089996,146.729996,122.669144,217700
2018-07-30,146.619995,147.929993,145.570007,145.639999,121.757874,242200
2018-07-31,145.630005,147.169998,143.009995,146.500000,122.476860,411700
2018-08-01,146.490005,146.639999,144.679993,145.990005,122.050507,267800
2018-08-02,146.559998,147.460007,145.240005,145.690002,121.799683,213100
2018-08-03,146.160004,147.490005,145.110001,145.580002,121.707710,191900
2018-08-06,146.440002,149.660004,146.039993,147.779999,123.546967,279300
2018-08-07,148.410004,148.699997,145.080002,145.160004,121.356606,216200
2018-08-08,145.460007,145.699997,144.669998,145.490005,121.632492,192900
2018-08-09,146.020004,147.320007,145.779999,146.000000,122.058846,165000
2018-08-10,145.559998,147.130005,145.279999,146.330002,122.334732,190100
2018-08-13,146.429993,147.309998,145.820007,147.110001,122.986832,143700
2018-08-14,147.240005,148.880005,146.990005,148.440002,124.098740,163800
2018-08-15,147.839996,149.899994,146.759995,149.690002,125.143745,157900
2018-08-16,150.020004,151.889999,149.789993,151.110001,126.330902,314500
2018-08-17,151.869995,153.419998,151.800003,152.110001,127.166901,323000
2018-08-20,152.750000,154.190002,152.110001,152.520004,127.509697,249900
2018-08-21,153.479996,154.250000,152.479996,152.559998,127.543137,273500
2018-08-22,152.339996,152.449997,150.000000,150.149994,125.528328,300500
2018-08-23,150.210007,151.610001,148.139999,151.419998,126.590096,304400
2018-08-24,151.490005,151.839996,150.550003,151.139999,126.355980,272100
2018-08-27,151.649994,152.550003,148.740005,149.990005,125.394562,316200
2018-08-28,150.000000,150.809998,149.160004,149.759995,125.202278,226600
2018-08-29,149.660004,150.190002,148.850006,149.410004,124.909683,196100
2018-08-30,150.000000,151.080002,149.250000,149.529999,125.009987,260700
2018-08-31,149.669998,150.669998,147.800003,149.089996,124.642143,365900
2018-09-04,150.139999,152.250000,148.960007,150.750000,126.029915,470400
2018-09-05,150.529999,152.889999,150.070007,152.350006,127.367599,307800
2018-09-06,151.479996,153.990005,151.479996,151.880005,126.974632,401200
2018-09-07,151.039993,155.500000,150.639999,155.250000,129.792038,352800
2018-09-10,155.490005,155.490005,153.130005,153.750000,128.537979,432200
2018-09-11,153.479996,155.179993,152.860001,153.830002,128.604874,320900
2018-09-12,153.850006,154.970001,152.250000,152.850006,127.785568,379400
2018-09-13,153.080002,153.220001,151.929993,153.029999,127.936050,200100
2018-09-14,152.529999,152.529999,149.270004,150.050003,125.444702,525600
2018-09-17,150.059998,151.970001,148.759995,150.750000,126.029915,573700
2018-09-18,144.490005,149.729996,141.630005,143.800003,120.219604,1864500
2018-09-19,142.699997,145.559998,142.169998,144.869995,121.114143,555000
2018-09-20,145.929993,146.800003,143.399994,145.259995,121.440186,605000
2018-09-21,145.419998,148.880005,145.270004,146.449997,122.435066,722900
2018-09-24,145.759995,147.580002,144.429993,147.509995,123.321220,419100
2018-09-25,147.919998,148.389999,145.429993,145.490005,121.632492,398800
2018-09-26,145.820007,146.149994,144.940002,145.259995,121.440186,314100
2018-09-27,145.210007,146.179993,144.779999,145.520004,121.657547,246300
2018-09-28,144.850006,148.479996,144.740005,147.130005,123.003563,451200
2018-10-01,147.059998,148.149994,146.279999,147.600006,123.396477,376800
2018-10-02,147.639999,148.970001,146.479996,146.740005,122.677521,584400
2018-10-03,146.949997,148.470001,144.820007,144.869995,121.114143,343600
2018-10-04,144.509995,146.779999,144.119995,146.630005,122.585518,308300
2018-10-05,146.960007,149.350006,146.750000,148.250000,123.939873,303200
2018-10-08,148.160004,150.809998,148.160004,149.899994,125.319336,260100
2018-10-09,149.429993,151.630005,147.199997,148.350006,124.023499,267200
2018-10-10,148.330002,151.070007,147.770004,150.830002,126.096832,695500
2018-10-11,150.320007,151.259995,149.210007,149.839996,125.269150,513600
2018-10-12,150.770004,150.800003,149.100006,150.309998,125.662117,438000
2018-10-15,150.470001,154.110001,150.339996,153.009995,127.919312,341000
2018-10-16,156.169998,158.100006,154.869995,157.279999,131.489136,673900
2018-10-17,157.520004,160.000000,157.250000,158.529999,132.534164,445600
2018-10-18,157.589996,159.250000,154.970001,155.119995,130.714005,372600
2018-10-19,155.009995,158.380005,154.259995,158.320007,133.410553,355500
2018-10-22,159.080002,160.250000,158.839996,159.929993,134.767197,334100
2018-10-23,159.039993,160.470001,156.600006,157.389999,132.626846,294600
2018-10-24,156.839996,158.910004,155.800003,157.880005,133.039780,397200
2018-10-25,158.669998,159.660004,156.630005,157.940002,133.090302,316900
2018-10-26,156.990005,160.050003,155.789993,159.330002,134.261627,416500
2018-10-29,160.500000,163.250000,159.350006,161.270004,135.896408,445400
2018-10-30,161.009995,165.369995,159.320007,165.169998,139.182770,444000
2018-10-31,165.710007,165.710007,158.440002,158.679993,133.713882,432500
2018-11-01,159.070007,160.649994,157.000000,160.470001,135.222260,329500
2018-11-02,161.360001,163.080002,159.889999,162.039993,136.545227,296600
2018-11-05,162.669998,164.899994,162.429993,164.630005,138.727753,264900
2018-11-06,164.619995,167.940002,164.100006,167.770004,141.373703,335200
2018-11-07,167.360001,169.389999,165.259995,168.190002,141.727661,285800
2018-11-08,167.339996,170.059998,166.759995,169.619995,142.932632,236100
2018-11-09,169.520004,171.429993,167.770004,169.779999,143.067474,378200
2018-11-12,169.690002,172.449997,169.460007,171.380005,144.415726,442400
2018-11-13,170.369995,172.240005,169.350006,170.240005,143.455093,334900
2018-11-14,170.229996,172.550003,170.039993,171.330002,144.373566,252500
2018-11-15,170.110001,171.600006,168.130005,171.369995,144.407333,243100
2018-11-16,170.740005,170.910004,167.850006,169.729996,143.025330,378000
2018-11-19,169.580002,175.029999,169.580002,174.850006,147.339783,345800
2018-11-20,170.830002,174.850006,170.589996,173.440002,146.151642,449500
2018-11-21,173.500000,174.830002,171.610001,171.979996,144.921310,334800
2018-11-23,171.570007,173.820007,171.089996,173.320007,146.050491,191700
2018-11-26,174.300003,176.259995,173.360001,175.009995,147.474594,660200
2018-11-27,170.929993,184.929993,170.929993,183.289993,154.451828,1670500
2018-11-28,178.899994,181.929993,174.279999,181.130005,152.631714,793900
2018-11-29,182.100006,185.000000,181.119995,182.639999,153.904144,798100
2018-11-30,183.220001,183.330002,178.910004,180.809998,152.362030,502100
2018-12-03,180.960007,182.000000,176.759995,179.600006,151.342438,589300
2018-12-04,179.000000,179.990005,176.889999,177.490005,149.564392,413400
2018-12-06,176.559998,177.000000,172.639999,175.460007,147.853790,653600
2018-12-07,174.860001,175.729996,170.690002,170.860001,143.977554,606300
2018-12-10,171.600006,175.250000,169.830002,174.369995,146.935272,447400
2018-12-11,176.279999,176.679993,171.720001,172.500000,145.359482,469400
2018-12-12,174.320007,176.119995,171.470001,175.149994,147.592560,470800
2018-12-13,175.389999,175.759995,173.080002,174.380005,146.943726,426200
2018-12-14,173.089996,173.380005,170.020004,171.429993,144.457840,428100
2018-12-17,171.559998,172.020004,168.940002,169.589996,142.907349,425200
2018-12-18,171.250000,171.250000,167.350006,169.410004,142.755692,357600
2018-12-19,169.289993,170.639999,165.929993,166.979996,140.707977,383100
2018-12-20,166.389999,166.710007,162.089996,163.039993,137.387894,415700
2018-12-21,162.500000,167.009995,161.419998,161.669998,136.233444,587400
2018-12-24,160.770004,160.770004,158.500000,158.910004,133.907715,229400
2018-12-26,159.080002,162.210007,158.320007,160.729996,135.441345,355300
2018-12-27,160.779999,161.649994,157.000000,160.860001,135.550903,361900
